Date,Price,Volume,Code
20190101,38700,9900267,A005930
20190102,38750,7847664,A005930
20190103,37600,12471493,A005930
20190104,37450,14108958,A005930
20190105,37450,14108958,A005930
20190106,37450,14108958,A005930
20190107,38750,12748997,A005930
20190108,38100,12756554,A005930
20190109,39600,17452708,A005930
20190110,39800,14731699,A005930
20190111,40500,11661063,A005930
20190112,40500,11661063,A005930
20190113,40500,11661063,A005930
20190114,40050,11984996,A005930
20190115,41100,11492756,A005930
20190116,41450,8491595,A005930
20190117,41950,11736903,A005930
20190118,42300,11029256,A005930
20190119,42300,11029256,A005930
20190120,42300,11029256,A005930
20190121,42750,11355701,A005930
20190122,42150,9964356,A005930
20190123,42000,11071079,A005930
20190124,43050,14747623,A005930
20190125,44750,22789395,A005930
20190126,44750,22789395,A005930
20190127,44750,22789395,A005930
20190128,45050,17998914,A005930
20190129,45500,16215017,A005930
20190130,46400,17505980,A005930
20190131,46150,21621145,A005930
20190201,46350,13832454,A005930
20190202,46350,13832454,A005930
20190203,46350,13832454,A005930
20190204,46350,13832454,A005930
20190205,46350,13832454,A005930
20190206,46350,13832454,A005930
20190207,46200,15872001,A005930
20190208,44800,12689196,A005930
20190209,44800,12689196,A005930
20190210,44800,12689196,A005930
20190211,45000,11125044,A005930
20190212,46050,13184367,A005930
20190213,46200,11299738,A005930
20190214,47500,17259341,A005930
20190215,46050,10554643,A005930
20190216,46050,10554643,A005930
20190217,46050,10554643,A005930
20190218,46200,8183728,A005930
20190219,45950,6741395,A005930
20190220,46900,11506720,A005930
20190221,46950,8694009,A005930
20190222,47150,6895772,A005930
20190223,47150,6895772,A005930
20190224,47150,6895772,A005930
20190225,47350,7484716,A005930
20190226,46750,7985547,A005930
20190227,46750,8045211,A005930
20190228,45100,23569321,A005930
20190301,45100,23569321,A005930
20190302,45100,23569321,A005930
20190303,45100,23569321,A005930
20190304,44850,12926539,A005930
20190305,44250,10612405,A005930
20190306,44000,10202544,A005930
20190307,44450,11049749,A005930
20190308,43800,7729069,A005930
20190309,43800,7729069,A005930
20190310,43800,7729069,A005930
20190311,43650,10717408,A005930
20190312,44650,11431977,A005930
20190313,43850,8108343,A005930
20190314,43850,18039161,A005930
20190315,44200,16814163,A005930
20190316,44200,16814163,A005930
20190317,44200,16814163,A005930
20190318,43700,8188876,A005930
20190319,43900,7609563,A005930
20190320,44050,9846242,A005930
20190321,45850,21138016,A005930
20190322,46550,12535911,A005930
20190323,46550,12535911,A005930
20190324,46550,12535911,A005930
20190325,45500,8699728,A005930
20190326,45250,9729811,A005930
20190327,45350,9568081,A005930
20190328,44850,6821306,A005930
20190329,44650,11491713,A005930
20190330,44650,11491713,A005930
20190331,44650,11491713,A005930
20190401,45050,7362129,A005930
20190402,45750,9480688,A005930
20190403,46600,12436570,A005930
20190404,46950,12650168,A005930
20190405,46850,8546339,A005930
20190406,46850,8546339,A005930
20190407,46850,8546339,A005930
20190408,46650,8507909,A005930
20190409,46650,6878761,A005930
20190410,46700,11883995,A005930
20190411,46250,13697399,A005930
20190412,46850,7668936,A005930
20190413,46850,7668936,A005930
20190414,46850,7668936,A005930
20190415,47050,8733019,A005930
20190416,47250,7730881,A005930
20190417,47050,5513658,A005930
20190418,45600,12808747,A005930
20190419,45300,8479710,A005930
20190420,45300,8479710,A005930
20190421,45300,8479710,A005930
20190422,45350,6006957,A005930
20190423,45200,6920566,A005930
20190424,44750,13299267,A005930
20190425,44650,10868965,A005930
20190426,44850,9739982,A005930
20190427,44850,9739982,A005930
20190428,44850,9739982,A005930
20190429,46150,8777517,A005930
20190430,45850,11121273,A005930
20190501,45850,11121273,A005930
20190502,45900,8625126,A005930
20190503,45300,6562916,A005930
20190504,45300,6562916,A005930
20190505,45300,6562916,A005930
20190506,45300,6562916,A005930
20190507,44850,12014907,A005930
20190508,44250,10398754,A005930
20190509,42450,23029718,A005930
20190510,42900,14579512,A005930
20190511,42900,14579512,A005930
20190512,42900,14579512,A005930
20190513,42650,7635079,A005930
20190514,42650,11563730,A005930
20190515,42550,7670185,A005930
20190516,41550,13687828,A005930
20190517,41200,13357951,A005930
20190518,41200,13357951,A005930
20190519,41200,13357951,A005930
20190520,42000,15752397,A005930
20190521,43150,18812133,A005930
20190522,43500,11033339,A005930
20190523,43850,12259006,A005930
20190524,42700,13966305,A005930
